train_test: ('prediction', 'train')
status_type_id: (0, 5)
sensor_0_avg: (0.0, 91.255)
sensor_1_avg: (-0.2446, 0.2443)
power_2_avg: (-0.0055634, 1.05786)
sensor_3_avg: (0.0, 0.0)
sensor_4_avg: (0.0, 0.0)
power_5_avg: (-0.008, 1.03618)
power_6_avg: (-0.008, 1.03618)
sensor_7_avg: (0.0, 42.0)
sensor_8_avg: (0.0, 185.06)
sensor_9_avg: (-1.195, 0.4392)
sensor_10_avg: (-1.109, 0.3736)
sensor_11_avg: (-1.1, 0.4691)
sensor_12_avg: (-49.9, 0.0189)
sensor_13_avg: (-49.898, 0.6104)
sensor_14_avg: (-49.9, 0.5274)
sensor_15_avg: (0.0, 44.0)
sensor_16_avg: (-1.545, 3.427)
power_17_avg: (-0.000733, 1.06308)
sensor_18_avg: (0.0, 68.318)
sensor_19_avg: (0.0, 67.568)
sensor_20_avg: (0.0, 67.897)
sensor_21_avg: (0.0, 67.226)
sensor_22_avg: (0.0, 1.173)
sensor_23_avg: (0.0, 3.354)
sensor_24_avg: (0.0, 3.471)
sensor_25_avg: (-24.9, 29.04)
sensor_26_avg: (-37.4, 6.853)
sensor_27_avg: (-24.0, 7.497)
sensor_28_avg: (-24.0, 7.445)
sensor_29_avg: (-24.0, 7.465)
sensor_30_avg: (-24.0, 7.467)
sensor_31_avg: (-24.0, 7.43)
sensor_32_avg: (-24.0, 7.518)
sensor_33_avg: (-24.0, 7.502)
sensor_34_avg: (-24.0, 7.479)
sensor_35_avg: (-0.0783, 5002.5)
sensor_36_avg: (0.0, 566.58)
sensor_37_avg: (0.0, 558.35)
sensor_38_avg: (0.0, 560.6)
sensor_39_avg: (0.0, 28.563)
sensor_40_avg: (0.0, 1032.0)
sensor_41_avg: (-54.9, 30.113)
sensor_42_avg: (-19.9, 59.502)
sensor_43_avg: (-4999.0, 18627.0)
sensor_44_avg: (-24.99, 14.216)
sensor_45_avg: (-24.99, 4.537)
sensor_46_avg: (-25.0, 38.732)
sensor_47_avg: (0.0, 50.188)
sensor_48_avg: (-62.4, 165.46)
sensor_49_avg: (-62.4, 178.02)
sensor_50_avg: (-62.4, 178.34)
sensor_51_avg: (-62.4, 178.03)
sensor_52_avg: (-62.4, 175.02)
sensor_53_avg: (-62.4, 173.89)
sensor_54_avg: (-62.4, 96.996)
sensor_55_avg: (-62.4, 93.337)
sensor_56_avg: (0.0, 91.467)
sensor_57_avg: (0.0, 91.293)
sensor_58_avg: (0.0, 19420.0)
sensor_59_avg: (0.0, 19446.0)
sensor_60_avg: (0.0, 19451.0)
sensor_61_avg: (0.0, 1031.9)
sensor_62_avg: (0.0, 42.784)
sensor_63_avg: (0.0, 42.5)
sensor_64_avg: (0.0, 43.91)
sensor_65_avg: (0.0, 36.2)
sensor_66_avg: (0.0, 107.08)
sensor_67_avg: (0.0, 105.17)
sensor_68_avg: (0.0, 108.88)
sensor_69_avg: (0.0, 15.532)
sensor_70_avg: (0.0, 16.001)
sensor_71_avg: (0.0, 402.31)
sensor_72_avg: (0.0, 402.63)
sensor_73_avg: (0.0, 402.58)
sensor_74_avg: (0.0, 171.07)
sensor_75_avg: (-6780.4, 3426.9)
sensor_76_avg: (-2.0, 18.29)
sensor_77_avg: (0.0, 1.8)
sensor_78_avg: (0.0, 1.801)
sensor_79_avg: (0.0, 1.8)
sensor_80_avg: (0.0, 1.92)
sensor_81_avg: (0.0, 1.805)
sensor_82_avg: (0.0, 3.299)
sensor_83_avg: (0.0, 4.041)
sensor_84_avg: (0.0, 3.9)
sensor_85_avg: (0.0, 3.857)
sensor_86_avg: (0.0, 3.849)
sensor_87_avg: (0.0, 8.56)
sensor_88_avg: (0.0, 9.243)
sensor_89_avg: (0.0, 8.94)
sensor_90_avg: (0.0, 29.42)
sensor_91_avg: (0.0, 29.42)
sensor_92_avg: (-0.6605, 29.42)
sensor_93_avg: (0.0, 29.42)
sensor_94_avg: (0.0, 1173.1)
sensor_95_avg: (0.0, 0.6308)
sensor_96_avg: (0.0, 0.9746)
sensor_97_avg: (0.0, 1.262)
sensor_98_avg: (0.0, 1.465)
sensor_99_avg: (0.0, 1.365)
sensor_100_avg: (-2.0, 90.15)
sensor_101_avg: (-2.0, 89.03)
sensor_102_avg: (-2.0, 89.01)
sensor_103_avg: (-1.976, 90.13)
sensor_104_avg: (-1.972, 89.06)
sensor_105_avg: (-1.976, 89.0)
sensor_106_avg: (-24.99, 100.0)
sensor_107_avg: (0.0, 46.298)
sensor_108_avg: (0.0, 14.891)
sensor_109_avg: (0.0, 16.93)
sensor_110_avg: (0.0, 13.704)
sensor_111_avg: (0.0, 9.86)
sensor_112_avg: (0.0, 10.689)
sensor_113_avg: (-12.972, 24.387)
sensor_114_avg: (-6.763, 18.402)
sensor_115_avg: (-624.0, 83.414)
sensor_116_avg: (-624.0, 69.668)
sensor_117_avg: (-3.99, 6.923)
sensor_118_avg: (-3.99, 6.921)
reactive_power_119_avg: (-0.41394, 0.19246)
reactive_power_120_avg: (-0.087516, 0.48976)
reactive_power_121_avg: (-0.60264, 0.0)
reactive_power_122_avg: (-0.41448, 0.1921)
sensor_123_avg: (-164.65, 159.22)
sensor_124_avg: (-165.21, 159.5)
sensor_125_avg: (-269.9, 158.8)
sensor_126_avg: (-269.9, 159.64)
sensor_127_avg: (0.0, 91.643)
sensor_128_avg: (0.0, 91.681)
sensor_129_avg: (0.0, 91.385)
sensor_130_avg: (0.0, 965.58)
sensor_131_avg: (0.0, 965.31)
sensor_132_avg: (0.0, 964.45)
sensor_133_avg: (-2.188, 17.539)
sensor_134_avg: (-2.188, 17.915)
sensor_135_avg: (-2.735, 18.17)
sensor_136_avg: (0.0, 3452.5)
sensor_137_avg: (0.0, 3452.4)
sensor_138_avg: (0.0, 3450.0)
sensor_139_avg: (0.0, 19377.0)
sensor_140_avg: (0.0, 19407.0)
sensor_141_avg: (0.0, 19419.0)
sensor_142_avg: (0.0, 0.0)
sensor_143_avg: (0.0, 0.0)
sensor_144_avg: (-5.5, 14.876)
sensor_145_avg: (-5.5, 14.854)
sensor_146_avg: (-53.99, 147.4)
sensor_147_avg: (-53.99, 147.37)
sensor_148_avg: (-48.501, 48.593)
sensor_149_avg: (-47.481, 47.845)
sensor_150_avg: (-47.563, 47.831)
sensor_151_avg: (0.0, 60.7)
sensor_152_avg: (0.0, 67.685)
sensor_153_avg: (0.0, 61.6)
sensor_154_avg: (0.0, 69.6)
sensor_155_avg: (0.0, 62.818)
sensor_156_avg: (0.0, 71.3)
sensor_157_avg: (0.0, 61.3)
sensor_158_avg: (0.0, 69.5)
sensor_159_avg: (0.0, 60.8)
sensor_160_avg: (0.0, 67.601)
sensor_161_avg: (0.0, 61.5)
sensor_162_avg: (0.0, 69.7)
sensor_163_avg: (0.0, 62.9)
sensor_164_avg: (0.0, 71.4)
sensor_165_avg: (0.0, 61.2)
sensor_166_avg: (0.0, 69.398)
sensor_167_avg: (0.0, 34.0)
sensor_168_avg: (0.0, 62.6)
sensor_169_avg: (0.0, 62.6)
sensor_170_avg: (0.0, 47.885)
sensor_171_avg: (0.0, 39.793)
sensor_172_avg: (0.0, 36.877)
sensor_173_avg: (0.0, 59.777)
sensor_174_avg: (0.0, 58.681)
sensor_175_avg: (0.0, 53.189)
sensor_176_avg: (0.0, 35.12)
sensor_177_avg: (0.0, 35.67)
sensor_178_avg: (0.0, 50.847)
sensor_179_avg: (0.0, 50.751)
sensor_180_avg: (0.0, 67.908)
sensor_181_avg: (0.0, 65.458)
sensor_182_avg: (0.0, 76.346)
sensor_183_avg: (0.0, 82.556)
sensor_184_avg: (0.0, 77.445)
sensor_185_avg: (0.0, 75.183)
sensor_186_avg: (0.0, 57.547)
sensor_187_avg: (0.0, 57.8)
sensor_188_avg: (0.0, 40.6)
sensor_189_avg: (0.0, 53.4)
sensor_190_avg: (0.0, 53.5)
sensor_191_avg: (0.0, 46.3)
sensor_192_avg: (0.0, 46.157)
sensor_193_avg: (0.0, 35.567)
sensor_194_avg: (0.0, 56.6)
sensor_195_avg: (0.0, 56.554)
sensor_196_avg: (0.0, 51.782)
sensor_197_avg: (0.0, 53.2)
sensor_198_avg: (0.0, 52.0)
sensor_199_avg: (0.0, 106.99)
sensor_200_avg: (0.0, 107.26)
sensor_201_avg: (0.0, 110.11)
sensor_202_avg: (0.0, 110.28)
sensor_203_avg: (0.0, 106.6)
sensor_204_avg: (0.0, 106.89)
sensor_205_avg: (0.0, 34.8)
sensor_206_avg: (0.0, 37.8)
sensor_207_avg: (0.0, 37.8)
sensor_208_avg: (0.0, 50.184)
sensor_209_avg: (0.0, 50.907)
sensor_210_avg: (0.0, 31.817)
sensor_211_avg: (0.0, 100.0)
sensor_212_avg: (0.0, 25.9)
sensor_213_avg: (0.0, 25.899)
sensor_214_avg: (0.0, 169.23)
sensor_215_avg: (0.0, 168.56)
sensor_216_avg: (0.0, 167.2)
sensor_217_avg: (0.0, 24.996)
sensor_218_avg: (0.0, 25.3)
sensor_219_avg: (0.0, 336.62)
sensor_220_avg: (0.0, 335.11)
sensor_221_avg: (0.0, 335.37)
sensor_222_avg: (0.0, 167.95)
sensor_223_avg: (0.0, 166.63)
sensor_224_avg: (0.0, 168.36)
sensor_225_avg: (-0.4399, 2.06)
sensor_226_avg: (-2.5, 4.153)
sensor_227_avg: (-2.5, 0.4843)
sensor_228_avg: (0.0, 47.972)
sensor_229_avg: (0.0, 47.911)
sensor_230_avg: (0.0, 541.72)
sensor_231_avg: (-2.49, 4.07)
sensor_232_avg: (-2.49, 4.062)
sensor_233_avg: (0.0, 53.053)
sensor_234_avg: (0.0, 53.8)
wind_speed_236_avg: (-2.594, 27.176)
wind_speed_235_avg: (-14.9, 27.182)
wind_speed_237_avg: (-14.9, 27.17)
label: (0, 1)
