train_test: ('prediction', 'train')
status_type_id: (0, 5)
sensor_0_avg: (0.0, 3650722.0)
sensor_1_avg: (-10.7, 1.551)
power_2_avg: (-0.3335599999999999, 1.08964)
sensor_3_avg: (0.0, 88.925)
sensor_4_avg: (0.0, 112.79)
power_5_avg: (-0.043382, 1.07138)
power_6_avg: (-0.043382, 1.07138)
sensor_7_avg: (-44.0, 1044.3)
sensor_8_avg: (-6.529, 187.09)
sensor_9_avg: (-1.2, 1.17)
sensor_10_avg: (-1.2, 1.1)
sensor_11_avg: (-1.2, 0.9253)
sensor_12_avg: (-49.9, 2.402)
sensor_13_avg: (-49.9, 3.149)
sensor_14_avg: (-49.9, 1.98)
sensor_15_avg: (-130.22, 87.936)
sensor_16_avg: (-8.0, 4.487)
power_17_avg: (-0.0039398, 1.08988)
sensor_18_avg: (-18.169, 74.894)
sensor_19_avg: (-2088.6, 74.834)
sensor_20_avg: (-48.911, 74.063)
sensor_21_avg: (-1297.4, 74.106)
sensor_22_avg: (0.0, 1.212)
sensor_23_avg: (0.0, 3.641)
sensor_24_avg: (0.0, 3.472)
sensor_25_avg: (-24.9, 31.166)
sensor_26_avg: (-37.4, 17.437)
sensor_27_avg: (-29.045, 8.449)
sensor_28_avg: (-55.527, 8.444)
sensor_29_avg: (-24.0, 8.651)
sensor_30_avg: (-24.0, 66.632)
sensor_31_avg: (-101.66, 8.774)
sensor_32_avg: (-53.818, 8.142)
sensor_33_avg: (-80.3, 8.455)
sensor_34_avg: (-24.0, 83.717)
sensor_35_avg: (-1.998, 5166.0)
sensor_36_avg: (-5.6, 711.93)
sensor_37_avg: (-5.6, 719.67)
sensor_38_avg: (-2.444, 672.1)
sensor_39_avg: (0.0, 34.8)
sensor_40_avg: (0.0, 1100.0)
sensor_41_avg: (-116.83, 70.0)
sensor_42_avg: (-19.9, 77.41)
sensor_43_avg: (-15686.0, 19584.0)
sensor_44_avg: (-57.99, 28.077)
sensor_45_avg: (-25.72, 27.039)
sensor_46_avg: (-25.0, 54.275)
sensor_47_avg: (0.0, 50.621)
sensor_48_avg: (-327.4, 182.32)
sensor_49_avg: (-71.6, 188.8)
sensor_50_avg: (-109.2, 191.39)
sensor_51_avg: (-91.8, 215.97)
sensor_52_avg: (-291.9, 202.13)
sensor_53_avg: (-100.84, 182.05)
sensor_54_avg: (-197.61, 114.49)
sensor_55_avg: (-244.72, 198.58)
sensor_56_avg: (0.0, 3793888.0)
sensor_57_avg: (0.0, 3937054.0)
sensor_58_avg: (0.0, 4095738.0)
sensor_59_avg: (0.0, 4167307.0)
sensor_60_avg: (0.0, 4382090.0)
sensor_61_avg: (0.0, 1041.4)
sensor_62_avg: (0.0, 76.994)
sensor_63_avg: (0.0, 77.084)
